part_id,part_type,material,part_name,spec,uom,unit_cost_usd,supplier,lead_time_days
PRT-000001,Nut,Stainless Steel,Stainless Steel Nut M8,Dia=8mm,EA,0.03,Supplier FastenPro,30
PRT-000002,Panel,MDF,MDF Panel 1200x120x15mm,L=1200mm;W=120mm;T=15mm,EA,2.01,Supplier HardwareHouse,10
PRT-000003,Screw,Steel,Steel Screw M6x60,Dia=6mm;Len=60mm,EA,0.09,Supplier HardwareHouse,22
PRT-000004,Glue Bottle,Glue,Glue Glue Bottle 1L,Volume=1L,EA,1.51,Supplier EcoMaterials,7
PRT-000005,Nut,Steel,Steel Nut M3,Dia=3mm,EA,0.01,Supplier EcoMaterials,32
PRT-000006,Nut,Steel,Steel Nut M5,Dia=5mm,EA,0.02,Supplier TimberCo,8
PRT-000007,Hinge,Steel,Steel Hinge,,EA,4.59,Supplier GlassLab,2
PRT-000008,Slider,Steel,Steel Slider,,EA,7.67,Supplier PrimeSupply,31
PRT-000009,Screw,Stainless Steel,Stainless Steel Screw M6x30,Dia=6mm;Len=30mm,EA,0.05,Supplier FastenPro,19
PRT-000010,Screw,Stainless Steel,Stainless Steel Screw M5x25,Dia=5mm;Len=25mm,EA,0.05,Supplier FinishesPlus,14
PRT-000011,Drawer Front,Pine Wood,Pine Wood Drawer Front 1200x100x50mm,L=1200mm;W=100mm;T=50mm,EA,4.04,Supplier GlassLab,21
PRT-000012,Washer,Steel,Steel Washer M4,Dia=4mm,EA,0.01,Supplier TimberCo,15
PRT-000013,Panel,Bamboo,Bamboo Panel 500x200x15mm,L=500mm;W=200mm;T=15mm,EA,1.94,Supplier TimberCo,23
PRT-000014,Beam,MDF,MDF Beam 1600x500x20mm,L=1600mm;W=500mm;T=20mm,EA,2.98,Supplier UpholsteryHub,8
PRT-000015,Fabric Cover,Fabric,Fabric Fabric Cover 800x900mm,L=800mm;W=900mm,EA,5.27,Supplier UpholsteryHub,20
PRT-000016,Backboard,Oak Wood,Oak Wood Backboard 500x40x40mm,L=500mm;W=40mm;T=40mm,EA,3.76,Supplier HardwareHouse,20
PRT-000017,Drawer Front,Birch Plywood,Birch Plywood Drawer Front 200x100x8mm,L=200mm;W=100mm;T=8mm,EA,1.81,Supplier GlassLab,33
